Name,Description,Origin,Ref,V score,P score,Converged
Prediction & Decision Market Research Agents,"AI research agents that investigate active bets on prediction markets (Polymarket, Kalshi) and conditional outcomes on decision markets (futarchy at Gnosis, Optimism, MetaDAO), incorporate user feedback, and maintain belief graphs that update on resolution. Surfaces to explore: a calibration track record (""your forecaster's CV""), a pro trader terminal, a DAO governance oracle, or an autonomous betting agent.",V,Vincent List #11,,,"=IF(AND(E12>=4,F12>=4),""yes"","""")"
Japanese AI Financial Research,"An LLM research product for Japanese equities covering TSE fundamentals, 四季報-style qualitative commentary, 有報/決算短信 parsing, and NISA-aware analysis. Three wedges: a JP retail copilot (biggest TAM), a NISA-aware tax/portfolio optimizer, or English-first JP-equity research for foreign capital (highest institutional willingness-to-pay and hardest to replicate from outside Japan).",V,Vincent List #12,,,"=IF(AND(E13>=4,F13>=4),""yes"","""")"
AI-Native Cross-Border Marketing Agency (Japan ↔ Global),"A productized marketing agency built around AI throughput rather than billable hours, focused on cross-border work: Japanese D2C brands going US/EU, global brands entering Japan with culturally adapted content. Deliverables span creative generation, campaign ops, multilingual adaptation, and retail media, priced on ROAS where possible. Sells to mid-market brands that can't afford Dentsu or Hakuhodo but need quality beyond fragmented freelancers.",V,Vincent List #13,,,"=IF(AND(E14>=4,F14>=4),""yes"","""")"
Japanese AI Apparel,"An apparel brand combining Japanese design aesthetics (streetwear, workwear, utility fashion) with AI-generated personalized designs and Japanese manufacturing. The bet is that AI image tools have crossed the threshold for production-ready graphics, Japanese craftsmanship retains global cachet, and D2C plus micro-batch manufacturing keeps inventory and taste risk under control. ""One-of-one"" personalization is a growing consumer expectation that this format serves naturally.",V,Vincent List #14,,,"=IF(AND(E15>=4,F15>=4),""yes"","""")"
Meeting Conciseness Widget,"A widget showing each speaker's running word count per turn on video calls, nudging brevity through gentle social pressure. Possible extension into a live coach flagging repetition, filler words, and missing participants. More of a feature than a company, since Zoom, Google, and Microsoft can copy it trivially, but the behavioral premise is interesting.",V,Vincent List #15,,,"=IF(AND(E16>=4,F16>=4),""yes"","""")"
AI-Native Ad Paradigm,"A rethink of advertising for the conversational era. Advertisers still bid, but the winning ad is the one whose context and intent best match the user's ongoing conversation, with price as a secondary weight rather than the dominant factor it is in AdSense-style keyword auctions. The goal is dramatically higher relevance inside AI chat. Current ad platforms and AI labs have real advantages here, but the paradigm itself is not theirs alone to execute.",V,Vincent List #16,,,"=IF(AND(E17>=4,F17>=4),""yes"","""")"
AI Guidance for Physical Work,"AI guidance for physical tasks (construction, manufacturing, maintenance, field service) delivered via AR glasses, phone cameras, or voice. Real-time checklists, safety verification, and step-by-step visual instruction. A genuinely underserved category compared to knowledge work, but shipping credibly would require a domain partner given no operator background in trades.",V,Vincent List #17,,,"=IF(AND(E18>=4,F18>=4),""yes"","""")"
Same-Lender Refi Company,"A company specialized in same-lender mortgage refinancing, stripping out the full-purchase-equivalent process (reunderwriting, appraisal, title) that homeowners endure today. Same-lender risk differs fundamentally from new-lender risk, but no industry player has capitalized on the distinction. Tracked because the broken-ness is self-evident, not because of a founder wedge.",V,Vincent List #18,,,"=IF(AND(E19>=4,F19>=4),""yes"","""")"
World State OS / Real-time World Data,"A continuously updated, structured knowledge graph mapping signals from news, sensors, markets, and open data into a queryable model of global events and causal relationships. The finance and intelligence sector is the wedge; becoming the grounding layer for AI agents is the prize. Can also be structured, machine-readable geopolitical risk signals delivered as a live API rather than a consultancy report. Targets multinationals, insurers, and banks who need this data integrated into software systems, not emailed as a PDF. Or a platform that turns messy public and private data — satellite imagery, shipping data, job postings, web traffic — into clean business signals and emerging trends. Gives mid-market companies access to the kind of alternative data intelligence that hedge funds and large corporates currently monopolise.",P,,,,"=IF(AND(E20>=4,F20>=4),""yes"","""")"
Trend Mapping Engine,"Software that combines many data sources to surface emerging patterns significantly earlier than traditional research methods. The value is in the synthesis and early signal, not the data itself — most of the inputs are already public.",P,,,,"=IF(AND(E21>=4,F21>=4),""yes"","""")"
GTM Predictions & Scenario Modelling,"AI-powered go-to-market experimentation that models scenarios across pricing, features, competition, and positioning using internal and external data. Runs virtual launches and simulations to find the highest-probability growth strategy before committing real resources.",P,,,,"=IF(AND(E22>=4,F22>=4),""yes"","""")"
Synthetic Attribution,"A digital twin of your market that simulates a counterfactual world where you didn't run a campaign, revealing true marketing incrementality rather than correlation. Solves one of the oldest and most expensive unsolved problems in marketing measurement.",P,,,,"=IF(AND(E23>=4,F23>=4),""yes"","""")"
Human Agentic Prediction Markets,"AI agents that simulate and forecast outcomes across markets, geopolitics, and world events — combined with a platform where humans and agents both participate. A new category sitting at the intersection of Polymarket, forecasting tools, and agentic AI.",P,,,,"=IF(AND(E24>=4,F24>=4),""yes"","""")"
LLM Accuracy & Hallucination Guard Rails,"A domain-specific verification and monitoring platform that sits between an LLM and its users, testing model outputs against ground truth before they reach the end user. Especially critical in regulated industries like healthcare, legal, and education where errors cause real harm.",P,,,,"=IF(AND(E25>=4,F25>=4),""yes"","""")"
AI Governance & Risk Management Platform,"A unified product helping enterprises manage AI safely end-to-end — model evaluation, approval workflows, access control, secure deployment, monitoring, audit trails, and executive dashboards. As regulation catches up with deployment this becomes mandatory infrastructure for every company running AI in production.",P,,,,"=IF(AND(E26>=4,F26>=4),""yes"","""")"
AI Agent Oversight Layer,"Software that supervises AI agents as they take real-world actions, flags risky behaviour, and escalates decisions that require human approval. As agents proliferate across enterprises the gap between capability and control becomes a critical and largely unsolved problem.",P,,,,"=IF(AND(E27>=4,F27>=4),""yes"","""")"
Policy Sentinel,"A real-time signal engine that reads every global legislative draft and maps emerging regulatory risk directly to a company's specific product surface. Turns the firehose of global policy change into actionable, firm-specific alerts rather than generic legal briefings.",P,,,,"=IF(AND(E28>=4,F28>=4),""yes"","""")"
Brand Firewall,"A cryptographic verification and monitoring layer for all corporate media that protects brands from deepfake sabotage and AI-driven misinformation campaigns. As synthetic media becomes indistinguishable from real, provenance and authentication become board-level risk issues.",P,,,,"=IF(AND(E29>=4,F29>=4),""yes"","""")"
Human Layer of LLMs,"Training AI models on human emotion, feeling, and lived experience — going beyond text to capture what makes us distinctly human. As AGI approaches, the most important unresolved question is whether AI can understand not just what we say but how we feel.",P,,,,"=IF(AND(E30>=4,F30>=4),""yes"","""")"
Cursor for Product Managers,"An AI-native product discovery system that goes from customer interviews and usage data all the way to prioritised PRDs, Figma mocks, and dev-ready tickets. The bottleneck in software has shifted from coding to figuring out what to build — this closes that gap. A more specific use case: An agent that continuously watches competitor updates, market shifts, and internal signals, then automatically rewrites roadmap documents and tickets so they never go stale. Turns product documentation from a snapshot into a living system.",P,,,,"=IF(AND(E31>=4,F31>=4),""yes"","""")"
Digital Twins,"Creating simulation models of real-world systems — factories, cities, supply chains, individuals — that can be used to test decisions before making them in the real world. Has applications across urban planning, healthcare, industrial operations, and personal decision-making.",P,,,,"=IF(AND(E32>=4,F32>=4),""yes"","""")"
Real News Filter,"A platform that filters out AI-generated and synthetic content to surface only verifiably human-produced journalism and information. As AI-generated content floods the internet, provenance and authenticity become the genuinely scarce resource.",P,,,,"=IF(AND(E33>=4,F33>=4),""yes"","""")"
Offline & Synthetic Data,"Digitising valuable offline data sources to improve AI model accuracy, combined with generating synthetic data to fill gaps where real data is scarce or sensitive. A hard, unsexy problem with an enormous payoff for whoever does it well at scale.",P,,,,"=IF(AND(E34>=4,F34>=4),""yes"","""")"
AI Career Navigation Layer,"Personalised AI guidance helping people figure out what to learn, how to prove it, and who to reach — especially those from non-traditional or immigrant backgrounds. Fills the critical gap between having a qualification and actually building a career.",P,,,,"=IF(AND(E35>=4,F35>=4),""yes"","""")"
Immigrant Talent Marketplace,"A platform using AI to assess, translate, and match the skills of immigrants whose credentials go unrecognised in their new country. One of the most underutilised talent pools in the world, with a broken system that AI is now genuinely capable of fixing.",P,,,,"=IF(AND(E36>=4,F36>=4),""yes"","""")"
AI Reskilling Infrastructure,"A B2B platform helping large employers reskill workers being displaced by AI, delivered as an ongoing sandbox or real-time learning environment. Learning will be the only durable skill left in white-collar work — whoever owns that infrastructure owns a generation of enterprise contracts.",P,,,,"=IF(AND(E37>=4,F37>=4),""yes"","""")"
NGO Copilot,"A productivity and operations platform modernising the work of NGO and non-profit staff under enormous pressure from funding cuts and administrative overhead. Starts with AI-assisted grant writing and expands into project tracking, impact monitoring, and reporting.",P,,,,"=IF(AND(E38>=4,F38>=4),""yes"","""")"
Children's Progress Tracking,An AI tool giving parents and educators real visibility into early childhood development using voice AI to capture signals that overworked staff can't document manually. The 0–3 years are the most critical for development and currently the most data-blind.,P,,,,"=IF(AND(E39>=4,F39>=4),""yes"","""")"
Early Childhood Screenless Tech,"Voice and ambient AI for young children that enables learning — languages, stories, concepts — without a screen. Lets children engage with technology in a developmentally appropriate way, solving the problem every parent with a toddler is wrestling with.",P,,,,"=IF(AND(E40>=4,F40>=4),""yes"","""")"
Foundation Models for Education,"Domain-specific LLMs trained on pedagogy, curriculum, and learning science rather than general internet text. A model purpose-built for teaching would be dramatically more effective than a general one and could underpin an entire generation of education products.",P,,,,"=IF(AND(E41>=4,F41>=4),""yes"","""")"
Emotional Intelligence Platform,"A tool that teaches, develops, and tracks emotional intelligence — the one distinctly human capability that can't easily be replicated or outsourced to AI. Whether for children, adults in the workplace, or teams in organisations, EQ development has never been systematically addressed at scale.",P,,,,"=IF(AND(E42>=4,F42>=4),""yes"","""")"
Brain Retraining / Therapeutic Tech,"Technology that goes beyond traditional therapy to actively retrain neural pathways using evidence-based approaches like neuroplasticity, behavioural science, and art therapy. Therapy as it exists today is expensive, inconsistent, and hard to access — this rebuilds it from first principles.",P,,,,"=IF(AND(E43>=4,F43>=4),""yes"","""")"
Decision Making Layer,"An AI system that helps individuals and organisations model decisions and simulate outcomes before committing — starting with financial decisions and expanding outward. A counter to the trend of outsourcing thinking entirely to AI, this helps people decide better rather than just deciding for them.",P,,,,"=IF(AND(E44>=4,F44>=4),""yes"","""")"
Recruitment & Skills Assessment,"AI-native recruitment that validates what candidates can actually do rather than what their CV claims, using agents to assess skills in realistic scenarios. Traditional hiring is increasingly broken — degrees signal less, interviews are easily gamed, and demonstrated ability is the only honest signal left.",P,,,,"=IF(AND(E45>=4,F45>=4),""yes"","""")"
AI-Native Agency Platform,"Infrastructure enabling service businesses — design, legal, marketing — to deliver client work using AI and achieve software margins in what has always been a people-cost business. YC Spring 2026 RFS called this out as a category they are actively looking to fund.",P,,,,"=IF(AND(E46>=4,F46>=4),""yes"","""")"
Remaking Traditional Apps,"Identifying established software categories — LinkedIn, Figma, Salesforce — and rebuilding them as AI-native products before the incumbents can reinvent themselves. The question is simply which category to pick and whether you can move faster than a well-funded legacy player.",P,,,,"=IF(AND(E47>=4,F47>=4),""yes"","""")"
Sovereign AI,"Building national or regional AI infrastructure — models, data, and compute — owned and governed locally rather than dependent on US or Chinese tech giants. Increasingly relevant as geopolitical tensions reshape the technology landscape, particularly in Canada",P,,,,"=IF(AND(E48>=4,F48>=4),""yes"","""")"
